Hospital,county,City,,"Pediatric
Medical
Surgical 
Care Beds","Obstetrics
Level","Obstetrics
Beds","Neonatal
Intensive
Care Beds","Neonatal
Intermediate
Care Beds","Pediatric
Intensive
Care Beds","Total
Births"
Mother Frances Hospital,SMITH,Tyler,,19,2,30,12,6,0,"2,518"
Texas Spine and Joint Hospital,SMITH,Tyler,,0,,0,0,0,0,0
Trinity Mother Frances Rehabilitation Hospital,SMITH,Tyler,,0,,0,0,0,0,0
Tyler Continue Care Hospital,SMITH,Tyler,,0,,0,0,0,0,0
UT Health Northeast,SMITH,Tyler,,0,,0,0,0,0,0
,SMITH Total,,COUNTY SUBTOTALS,19,,46,12,12,0,"3,286"
COUNTY-SOMERVELL,,,,,,,,,,
Glen Rose Medical Center,SOMERVELL,Glen Rose,,0,,0,0,0,0,0
,SOMERVELL Total,,COUNTY SUBTOTALS,0,,0,0,0,0,0
COUNTY-STARR,,,,,,,,,,
Starr County Memorial Hospital,STARR,Rio Grande City,,4,1,10,0,0,0,263
,STARR Total,,COUNTY SUBTOTALS,4,,10,0,0,0,263
COUNTY-STEPHENS,,,,,,,,,,
Stephens Memorial Hospital,STEPHENS,Breckenridge,,1,,0,0,0,0,0
,STEPHENS Total,,COUNTY SUBTOTALS,1,,0,0,0,0,0
COUNTY-STONEWALL,,,,,,,,,,
Stonewall Memorial Hospital,STONEWALL,Aspermont,,0,,0,0,0,0,0
,STONEWALL Total,,COUNTY SUBTOTALS,0,,0,0,0,0,0
COUNTY-SUTTON,,,,,,,,,,
Lillian M. Hudspeth Memorial Hospital,SUTTON,Sonora,,0,,0,0,0,0,0
,SUTTON Total,,COUNTY SUBTOTALS,0,,0,0,0,0,0
COUNTY-SWISHER,,,,,,,,,,
Swisher Memorial Hospital,SWISHER,Tulia,,0,,0,0,0,0,0
,SWISHER Total,,COUNTY SUBTOTALS,0,,0,0,0,0,0
COUNTY-TARRANT,,,,,,,,,,
Baylor All Saints Medical Center at Fort Worth,TARRANT,Fort Worth,,0,3,64,23,40,0,"5,659"
Baylor Emergency Medical Center,TARRANT,Burleson,,0,,0,0,0,0,0
Baylor Institute for Rehabilitation at Fort Worth,TARRANT,Fort Worth,,0,,0,0,0,0,0
Baylor Orthopedic and Spine Hospital at Arlington,TARRANT,Arlington,,0,,0,0,0,0,0
Baylor Regional Medical Center at Grapevine,TARRANT,Grapevine,,0,3,51,22,0,0,"2,637"
Baylor Surgical Hospital at Fort Worth,TARRANT,Fort Worth,,0,,0,0,0,0,0
Cook Children's Medical Center,TARRANT,Fort Worth,,194,,0,80,0,33,0
Cook Children's Northeast Hospital,TARRANT,Hurst,,3,,0,0,0,0,0
Ethicus Hospital DFW LLC,TARRANT,Grapevine,,0,,0,0,0,0,0
Forest Park Medical Center Southlake,TARRANT,Southlake,,2,,0,0,0,0,0
HEALTHSOUTH City View Rehabilitation Hospital,TARRANT,Fort Worth,,0,,0,0,0,0,0
HEALTHSOUTH Rehabilitation Hospital of Arlington,TARRANT,Arlington,,0,,0,0,0,0,0
HEALTHSOUTH Rehabilitation Hospital of Fort Worth,TARRANT,Fort Worth,,0,,0,0,0,0,0
John Peter Smith Hospital,TARRANT,Fort Worth,,4,3,29,35,0,0,"4,833"
Kindred Hospital - Fort Worth,TARRANT,Fort Worth,,0,,0,0,0,0,0
Kindred Hospital - Mansfield,TARRANT,Mansfield,,0,,0,0,0,0,0
Kindred Hospital - Tarrant County,TARRANT,Arlington,,0,,0,0,0,0,0
Kindred Hospital - Tarrant County,TARRANT,Fort Worth,,0,,0,0,0,0,0
Kindred Rehabilitation Hospital Arlington,TARRANT,Arlington,,0,,0,0,0,0,0
LifeCare Hospitals of Fort Worth,TARRANT,Fort Worth,,0,,0,0,0,0,0
Medical Center of Arlington,TARRANT,Arlington,,0,2,54,22,6,0,"4,266"
Methodist Mansfield Medical Center,TARRANT,Mansfield,,0,,NAV,8,0,0,"2,148"
North Hills Hospital,TARRANT,North Richland Hills,,0,2,17,0,0,0,556
Plaza Medical Center of Fort Worth,TARRANT,Fort Worth,,0,,0,0,0,0,1
"Regency Hospital of Fort Worth, LLLP",TARRANT,Fort Worth,,0,,0,0,0,0,0
Reliant Rehabilitation Hospital Mid-Cities,TARRANT,Bedford,,0,,0,0,0,0,0
Texas General Hospital,TARRANT,Grand Prairie,,0,,0,0,0,0,0
Texas Health Arlington Memorial Hospital,TARRANT,Arlington,,0,2,39,15,0,0,"1,927"
Texas Health Harris Methodist Hospital Alliance,TARRANT,Fort Worth,,0,1,14,8,0,0,"1,146"
Texas Health Harris Methodist Hospital Azle,TARRANT,Azle,,0,,0,0,0,0,0
Texas Health Harris Methodist Hospital Fort Worth,TARRANT,Fort Worth,,0,3,65,62,0,0,"2,885"
Texas Health Harris Methodist Hospital Hurst-Euless-Bedford,TARRANT,Bedford,,0,2,33,16,0,0,"2,086"
Texas Health Harris Methodist Hospital Southlake,TARRANT,Southlake,,0,,0,0,0,0,0
Texas Health Harris Methodist Hospital Southwest Fort Worth,TARRANT,Fort Worth,,0,2,48,8,0,0,"3,197"
Texas Health Heart & Vascular Hospital  Arlington,TARRANT,Arlington,,0,,0,0,0,0,0
Texas Health Huguley Hospital,TARRANT,Fort Worth,,5,2,29,0,0,0,"1,166"
Texas Health Specialty Hospital Fort Worth,TARRANT,Fort Worth,,0,,0,0,0,0,0
Texas Rehabilitation Hospital of Fort Worth,TARRANT,Fort Worth,,0,,0,0,0,0,0
USMD Hospital at Arlington,TARRANT,Arlington,,0,,0,0,0,0,0
USMD Hospital at Fort Worth,TARRANT,Fort Worth,,NAV,,0,0,0,0,0
Victory Medical Center Mid-Cities,TARRANT,Hurst,,0,,0,0,0,0,0
,TARRANT Total,,COUNTY SUBTOTALS,208,,443,299,46,33,"32,507"
COUNTY-TAYLOR,,,,,,,,,,
Abilene Regional Medical Center,TAYLOR,Abilene,,6,3,31,16,0,0,"1,214"
ContinueCARE Hospital at Hendrick Medical Center,TAYLOR,Abilene,,0,,0,0,0,0,0
Hendrick Medical Center,TAYLOR,Abilene,,20,2,27,0,14,3,"1,601"
Reliant Rehabilitation Hospital Abilene,TAYLOR,Abilene,,0,,0,0,0,0,0
,TAYLOR Total,,COUNTY SUBTOTALS,26,,58,16,14,3,"2,815"
COUNTY-TERRY,,,,,,,,,,
Brownfield Regional Medical Center,TERRY,Brownfield,,NAV,1,5,0,0,0,134
,TERRY Total,,COUNTY SUBTOTALS,NAV,,5,0,0,0,134
COUNTY-THROCKMORTON,,,,,,,,,,
Throckmorton County Memorial Hospital,THROCKMORTON,Throckmorton,,0,,0,0,0,0,0
,THROCKMORTON Total,,COUNTY SUBTOTALS,0,,0,0,0,0,0
COUNTY-TITUS,,,,,,,,,,
Titus Regional Medical Center,TITUS,Mount Pleasant,,6,2,6,0,3,0,"1,092"
,TITUS Total,,COUNTY SUBTOTALS,6,,6,0,3,0,"1,092"
COUNTY-TOM GREEN,,,,,,,,,,
San Angelo Community Medical Center,TOM GREEN,San Angelo,,7,2,19,6,0,0,852
Shannon West Texas Memorial Hospital,TOM GREEN,San Angelo,,16,2,20,4,10,0,"1,209"
,TOM GREEN Total,,COUNTY SUBTOTALS,23,,39,10,10,0,"2,061"
COUNTY-TRAVIS,,,,,,,,,,
Arise Austin Medical Center,TRAVIS,Austin,,0,,0,0,0,0,0
Central Texas Rehabilitation Hospital,TRAVIS,Austin,,0,,0,0,0,0,0
Cornerstone Hospital of Austin,TRAVIS,Austin,,0,,0,0,0,0,0
Dell Children's Medical Center,TRAVIS,Austin,,144,,0,32,0,24,0
HEALTHSOUTH Rehabilitation Hospital of Austin,TRAVIS,Austin,,0,,0,0,0,0,0
Lakeway Regional Medical Center,TRAVIS,Austin,,NAV,1,6,4,0,NAV,315
North Austin Medical Center,TRAVIS,Austin,,8,3,105,46,1,6,"6,465"
Northwest Hills Surgical Hospital,TRAVIS,Austin,,0,,0,0,0,0,0
Reliant Rehabilitation Hospital Austin LP,TRAVIS,Austin,,0,,0,0,0,0,0
Seton Medical Center Austin,TRAVIS,Austin,,0,3,64,44,0,0,"3,857"
Seton Northwest Hospital,TRAVIS,Austin,,0,2,23,0,2,0,"1,186"
Seton Southwest Hospital,TRAVIS,Austin,,0,1,17,5,0,0,709
St. David's Medical Center,TRAVIS,Austin,,0,2,92,32,33,0,"5,518"
St. David's South Austin Medical Center,TRAVIS,Austin,,0,2,11,0,9,0,"1,621"
Texas Neurorehab Center,TRAVIS,Austin,,0,,0,0,0,0,0
The Hospital at Westlake Medical Center,TRAVIS,Austin,,0,,0,0,0,0,0
University Medical Center at Brackenridge,TRAVIS,Austin,,0,3,10,12,0,0,"1,387"
,TRAVIS Total,,COUNTY SUBTOTALS,152,,328,175,45,30,"21,058"
COUNTY-TRINITY,,,,,,,,,,
East Texas Medical Center Trinity,TRINITY,Trinity,,0,,0,0,0,0,0
,TRINITY Total,,COUNTY SUBTOTALS,0,,0,0,0,0,0
COUNTY-TYLER,,,,,,,,,,
Tyler County Hospital,TYLER,Woodville,,0,,0,0,0,0,0
,TYLER Total,,COUNTY SUBTOTALS,0,,0,0,0,0,0
COUNTY-UPSHUR,,,,,,,,,,
East Texas Medical Center - Gilmer,UPSHUR,Gilmer,,0,,0,0,0,0,0
,UPSHUR Total,,COUNTY SUBTOTALS,0,,0,0,0,0,0
COUNTY-UPTON,,,,,,,,,,
McCamey Hospital,UPTON,McCamey,,0,,0,0,0,0,0
Rankin County Hospital District,UPTON,Rankin,,0,,0,0,0,0,0
,UPTON Total,,COUNTY SUBTOTALS,0,,0,0,0,0,0
COUNTY-UVALDE,,,,,,,,,,
Uvalde Memorial Hospital,UVALDE,Uvalde,,NAV,1,6,0,0,0,371
,UVALDE Total,,COUNTY SUBTOTALS,NAV,,6,0,0,0,371
COUNTY-VAL VERDE,,,,,,,,,,
Val Verde Regional Medical Center,VAL VERDE,Del Rio,,7,1,18,0,4,0,935
,VAL VERDE Total,,COUNTY SUBTOTALS,7,,18,0,4,0,935
COUNTY-VICTORIA,,,,,,,,,,
Citizens Medical Center,VICTORIA,Victoria,,6,2,11,4,0,0,802
DeTar Hospital Navarro,VICTORIA,Victoria,,26,2,54,9,0,0,"1,354"
Post Acute Medical Specialty Hospital of Victoria,VICTORIA,Victoria,,0,,0,0,0,0,0
Warm Springs Rehabilitation Hospital of Victoria,VICTORIA,Victoria,,0,,0,0,0,0,0
Warm Springs Specialty Hospital of Victoria,VICTORIA,Victoria,,0,,0,0,0,0,0
,VICTORIA Total,,COUNTY SUBTOTALS,32,,65,13,0,0,"2,156"
COUNTY-WALKER,,,,,,,,,,
Huntsville Memorial Hospital,WALKER,Huntsville,,3,2,5,0,0,0,502
,WALKER Total,,COUNTY SUBTOTALS,3,,5,0,0,0,502
COUNTY-WARD,,,,,,,,,,
Ward Memorial Hospital,WARD,Monahans,,5,,0,0,0,0,0
,WARD Total,,COUNTY SUBTOTALS,5,,0,0,0,0,0
COUNTY-WASHINGTON,,,,,,,,,,
Scott & White Hospital - Brenham,WASHINGTON,Brenham,,0,1,5,0,0,0,268
,WASHINGTON Total,,COUNTY SUBTOTALS,0,,5,0,0,0,268
COUNTY-WEBB,,,,,,,,,,
Doctors Hospital of Laredo,WEBB,Laredo,,31,2,42,20,0,0,"2,538"
Laredo Medical Center,WEBB,Laredo,,29,2,34,17,0,0,"3,436"
Laredo Specialty Hospital,WEBB,Laredo,,0,,0,0,0,0,0
,WEBB Total,,COUNTY SUBTOTALS,60,,76,37,0,0,"5,974"
COUNTY-WHARTON,,,,,,,,,,
El Campo Memorial Hospital,WHARTON,El Campo,,0,,0,0,0,0,0
Gulf Coast Medical Center,WHARTON,Wharton,,0,,0,0,0,0,0
,WHARTON Total,,COUNTY SUBTOTALS,0,,0,0,0,0,0
COUNTY-WHEELER,,,,,,,,,,
Parkview Hospital,WHEELER,Wheeler,,0,,0,0,0,0,0
Shamrock General Hospital,WHEELER,Shamrock,,0,,0,0,0,0,0
,WHEELER Total,,COUNTY SUBTOTALS,0,,0,0,0,0,0
COUNTY-WICHITA,,,,,,,,,,
Electra Memorial Hospital,WICHITA,Electra,,0,,0,0,0,0,0
HEALTHSOUTH Rehabilitation Hospital of Wichita Falls,WICHITA,Wichita Falls,,0,,0,0,0,0,0
Kell West Regional Hospital,WICHITA,Wichita Falls,,0,,0,0,0,0,0
Promise Hospital of Wichita Falls Inc,WICHITA,Wichita Falls,,0,,0,0,0,0,0
United Regional Health Care System,WICHITA,Wichita Falls,,25,2,15,0,6,0,"2,236"
,WICHITA Total,,COUNTY SUBTOTALS,25,,15,0,6,0,"2,236"
COUNTY-WILBARGER,,,,,,,,,,
Wilbarger General Hospital,WILBARGER,Vernon,,0,,0,0,0,0,0
,WILBARGER Total,,COUNTY SUBTOTALS,0,,0,0,0,0,0
COUNTY-WILLIAMSON,,,,,,,,,,
Cedar Park Regional Medical Center,WILLIAMSON,Cedar Park,,8,2,20,0,8,0,944
Reliant RehabiIitation Hospital Central Texas,WILLIAMSON,Round Rock,,0,,0,0,0,0,0
Round Rock Medical Center,WILLIAMSON,Round Rock,,0,3,24,0,12,0,"1,940"
Scott & White Emergency Hospital at Cedar Park,WILLIAMSON,Cedar Park,,0,,0,0,0,0,0
Scott & White Hospital - Round Rock,WILLIAMSON,Round Rock,,0,1,10,0,0,0,484
Scott & White Hospital - Taylor,WILLIAMSON,Taylor,,0,,0,0,0,0,0
Seton Medical Center Williamson,WILLIAMSON,Round Rock,,0,2,16,8,0,0,708
,WILLIAMSON Total,,COUNTY SUBTOTALS,8,,70,8,20,0,"4,076"
COUNTY-WILSON,,,,,,,,,,
Connally Memorial Medical Center,WILSON,Floresville,,0,,0,0,0,0,0
,WILSON Total,,COUNTY SUBTOTALS,0,,0,0,0,0,0
COUNTY-WINKLER,,,,,,,,,,
Winkler County Memorial Hospital,WINKLER,Kermit,,0,,0,0,0,0,0
,WINKLER Total,,COUNTY SUBTOTALS,0,,0,0,0,0,0
COUNTY-WISE,,,,,,,,,,
Wise Regional Health System,WISE,Decatur,,10,1,17,0,0,0,592
,WISE Total,,COUNTY SUBTOTALS,10,,17,0,0,0,592
COUNTY-WOOD,,,,,,,,,,
East Texas Medical Center - Quitman,WOOD,Quitman,,0,,0,0,0,0,0
Mother Frances Hospital - Winnsboro,WOOD,Winnsboro,,0,,0,0,0,0,0
,WOOD Total,,COUNTY SUBTOTALS,0,,0,0,0,0,0
COUNTY-YOAKUM,,,,,,,,,,
Yoakum County Hospital,YOAKUM,Denver City,,1,1,2,0,0,0,165
,YOAKUM Total,,COUNTY SUBTOTALS,1,,2,0,0,0,165
COUNTY-YOUNG,,,,,,,,,,
Graham Regional Medical Center,YOUNG,Graham,,NAV,2,10,0,0,0,220
Hamilton Hospital,YOUNG,Olney,,1,1,1,0,0,0,39
,YOUNG Total,,COUNTY SUBTOTALS,1,,11,0,0,0,259
561 Hospitals,Grand Total,,GRAND TOTALS,"2,876",,"5,775","2,869",895,488,"390,575"
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
